Exo_type_id,Exo_type,Exo_objective,Exo_focus,Exo_id,Source_format,Target_format,Source_sentence_id,Source_word_id,Source_lang,Target_lang,Full_sentence,Instruction,Sentence_w_blank,Right_answer,Dist_1,Dist_2,Dist_3,Explanation,Difficulty,Remediation
10,Flashcards,Learning vocabulary,,1,text,text,,1.0,French,English,Beauty,,,Beauté,,,,,B2,
10,Flashcards,Learning vocabulary,,2,text,text,,2.0,French,English,Truth,,,Verité,,,,,B1,
10,Flashcards,Learning vocabulary,,3,text,text,,3.0,French,English,Freedom,,,Liberté,,,,,B2,
10,Flashcards,Learning vocabulary,,4,text,text,,4.0,French,English,Brotherhood,,,Fraternité,,,,,C1,
10,Flashcards,Learning vocabulary,,5,text,text,,5.0,French,English,Kindness,,,Bonté,,,,,C1,
10,Flashcards,Learning vocabulary,,6,text,text,,6.0,French,English,Wickedness,,,Méchanceté,,,,,C1,
10,Flashcards,Learning vocabulary,,7,text,text,,7.0,French,English,Elegance,,,Elégance,,,,,C1,
10,Flashcards,Learning vocabulary,,8,text,text,,8.0,French,English,Difference,,,Différence,,,,,C1,
10,Flashcards,Learning vocabulary,,9,text,text,,9.0,French,English,Ideal,,,Idéal,,,,,B2,
10,Flashcards,Learning vocabulary,,10,text,text,,10.0,French,English,Modernity,,,Modernité,,,,,C1,
10,Flashcards,Learning vocabulary,,11,text,text,,11.0,French,English,Quality,,,Qualité,,,,,B2,
10,Flashcards,Learning vocabulary,,12,text,text,,12.0,French,English,Amount,,,Quantité,,,,,B2,
10,Flashcards,Learning vocabulary,,13,text,text,,13.0,French,English,Cleanliness,,,Propreté,,,,,C1,
10,Flashcards,Learning vocabulary,,14,text,text,,14.0,French,English,Handsome,,,Beau,,,,,C1,
10,Flashcards,Learning vocabulary,,15,text,text,,15.0,French,English,Tasty,,,Bon,,,,,B2,
10,Flashcards,Learning vocabulary,,16,text,text,,16.0,French,English,True,,,Vrai,,,,,A2,
10,Flashcards,Learning vocabulary,,17,text,text,,17.0,French,English,wrong,,,Faux,,,,,B1,
10,Flashcards,Learning vocabulary,,18,text,text,,18.0,French,English,in bad taste,,,Mauvais,,,,,A1,
10,Flashcards,Learning vocabulary,,19,text,text,,19.0,French,English,bad,,,Mauvais,,,,,A1,
10,Flashcards,Learning vocabulary,,20,text,text,,20.0,French,English,wrong,,,Mauvais,,,,,B1,
10,Flashcards,Learning vocabulary,,21,text,text,,21.0,French,English,Ugly,,,Laid,,,,,B1,
10,Flashcards,Learning vocabulary,,22,text,text,,22.0,French,English,Fast,,,Rapide,,,,,A2,
10,Flashcards,Learning vocabulary,,23,text,text,,23.0,French,English,Slow,,,Lent,,,,,B1,
10,Flashcards,Learning vocabulary,,24,text,text,,24.0,French,English,Cold,,,Froid,,,,,A2,
10,Flashcards,Learning vocabulary,,25,text,text,,25.0,French,English,Hot,,,Chaud,,,,,A1,
10,Flashcards,Learning vocabulary,,26,text,text,,26.0,French,English,High,,,Haut,,,,,A1,
10,Flashcards,Learning vocabulary,,27,text,text,,27.0,French,English,Low,,,Bas,,,,,A1,
10,Flashcards,Learning vocabulary,,28,text,text,,28.0,French,English,Deep,,,Profond,,,,,A2,
10,Flashcards,Learning vocabulary,,29,text,text,,29.0,French,English,Superficial,,,Superficiel,,,,,C1,
10,Flashcards,Learning vocabulary,,30,text,text,,30.0,French,English,Small,,,Petit,,,,,B1,
10,Flashcards,Learning vocabulary,,31,text,text,,31.0,French,English,Tall,,,Grand,,,,,B1,
10,Flashcards,Learning vocabulary,,32,text,text,,32.0,French,English,Black,,,Noir,,,,,B1,
10,Flashcards,Learning vocabulary,,33,text,text,,33.0,French,English,White,,,Blanc,,,,,B1,
10,Flashcards,Learning vocabulary,,34,text,text,,34.0,French,English,Red,,,Rouge,,,,,A1,
10,Flashcards,Learning vocabulary,,35,text,text,,35.0,French,English,Blue,,,Bleu,,,,,A2,
10,Flashcards,Learning vocabulary,,36,text,text,,36.0,French,English,Green,,,Vert,,,,,B1,
10,Flashcards,Learning vocabulary,,37,text,text,,37.0,French,English,Yellow,,,Jaune,,,,,B2,
10,Flashcards,Learning vocabulary,,38,text,text,,38.0,French,English,Gray,,,Gris,,,,,B1,
10,Flashcards,Learning vocabulary,,39,text,text,,39.0,French,English,Purple,,,Violet,,,,,B2,
10,Flashcards,Learning vocabulary,,40,text,text,,40.0,French,English,Nasty,,,Méchant,,,,,B2,
10,Flashcards,Learning vocabulary,,41,text,text,,41.0,French,English,Kind,,,Gentil,,,,,A2,
10,Flashcards,Learning vocabulary,,42,text,text,,42.0,French,English,Young,,,Jeune,,,,,B1,
10,Flashcards,Learning vocabulary,,43,text,text,,43.0,French,English,Old,,,Vieux,,,,,A1,
10,Flashcards,Learning vocabulary,,44,text,text,,44.0,French,English,Narrow,,,étroit,,,,,B2,
10,Flashcards,Learning vocabulary,,45,text,text,,45.0,French,English,Wide,,,Large,,,,,B1,
10,Flashcards,Learning vocabulary,,46,text,text,,46.0,French,English,Long,,,Long,,,,,A1,
10,Flashcards,Learning vocabulary,,47,text,text,,47.0,French,English,Short,,,Court,,,,,B1,
10,Flashcards,Learning vocabulary,,48,text,text,,48.0,French,English,Beautiful,,,Belle (personne),,,,,C1,
10,Flashcards,Learning vocabulary,,49,text,text,,49.0,French,English,Pretty,,,Joli,,,,,B2,
10,Flashcards,Learning vocabulary,,50,text,text,,50.0,French,English,Useful,,,Utile,,,,,B2,
10,Flashcards,Learning vocabulary,,51,text,text,,51.0,French,English,Useless,,,Inutile,,,,,C1,
10,Flashcards,Learning vocabulary,,52,text,text,,52.0,French,English,Easy,,,Facile,,,,,A2,
10,Flashcards,Learning vocabulary,,53,text,text,,53.0,French,English,Tough,,,Difficile,,,,,B2,
10,Flashcards,Learning vocabulary,,54,text,text,,54.0,French,English,Simple,,,Simple,,,,,B2,
10,Flashcards,Learning vocabulary,,55,text,text,,55.0,French,English,Complex,,,Complexe,,,,,B2,
10,Flashcards,Learning vocabulary,,56,text,text,,56.0,French,English,Strange,,,étrange,,,,,C1,
10,Flashcards,Learning vocabulary,,57,text,text,,57.0,French,English,Obvious,,,évident,,,,,C1,
10,Flashcards,Learning vocabulary,,58,text,text,,58.0,French,English,Amusing,,,Drôle,,,,,C1,
10,Flashcards,Learning vocabulary,,59,text,text,,59.0,French,English,Funny,,,Drôle,,,,,B1,
10,Flashcards,Learning vocabulary,,60,text,text,,60.0,French,English,Enjoyable,,,Amusant,,,,,C1,
10,Flashcards,Learning vocabulary,,61,text,text,,61.0,French,English,Excellent,,,Excellent,,,,,C1,
10,Flashcards,Learning vocabulary,,62,text,text,,62.0,French,English,Mediocre,,,Médiocre,,,,,C1,
10,Flashcards,Learning vocabulary,,63,text,text,,63.0,French,English,Old,,,Ancien,,,,,A1,
10,Flashcards,Learning vocabulary,,64,text,text,,64.0,French,English,New,,,Récent,,,,,A1,
10,Flashcards,Learning vocabulary,,65,text,text,,65.0,French,English,Quiet,,,Calme,,,,,B2,
10,Flashcards,Learning vocabulary,,66,text,text,,66.0,French,English,Crazy,,,Fou,,,,,B1,
10,Flashcards,Learning vocabulary,,67,text,text,,67.0,French,English,Beige,,,Beige,,,,,C1,
10,Flashcards,Learning vocabulary,,68,text,text,,68.0,French,English,Mauve,,,Mauve,,,,,C1,
10,Flashcards,Learning vocabulary,,69,text,text,,69.0,French,English,Brown,,,Marron,,,,,B1,
10,Flashcards,Learning vocabulary,,70,text,text,,70.0,French,English,Orange,,,Orange,,,,,B2,
10,Flashcards,Learning vocabulary,,71,text,text,,71.0,French,English,Transparent,,,Transparent,,,,,C1,
10,Flashcards,Learning vocabulary,,72,text,text,,72.0,French,English,Coloured,,,Coloré,,,,,C1,
10,Flashcards,Learning vocabulary,,73,text,text,,73.0,French,English,Dull,,,Terne,,,,,B2,
10,Flashcards,Learning vocabulary,,74,text,text,,74.0,French,English,Dark,,,Sombre,,,,,A2,
10,Flashcards,Learning vocabulary,,75,text,text,,75.0,French,English,Impossible,,,Impossible,,,,,C1,
10,Flashcards,Learning vocabulary,,76,text,text,,76.0,French,English,Fair,,,Clair,,,,,B1,
10,Flashcards,Learning vocabulary,,77,text,text,,77.0,French,English,Obvious,,,Clair,,,,,C1,
10,Flashcards,Learning vocabulary,,78,text,text,,78.0,French,English,Delicious,,,Délicieux,,,,,C1,
10,Flashcards,Learning vocabulary,,79,text,text,,79.0,French,English,Stylish,,,Elégant,,,,,C1,
10,Flashcards,Learning vocabulary,,80,text,text,,80.0,French,English,Pleasant,,,Agréable,,,,,C1,
10,Flashcards,Learning vocabulary,,81,text,text,,81.0,French,English,Nasty,,,Désagréable,,,,,B2,
10,Flashcards,Learning vocabulary,,82,text,text,,82.0,French,English,Charming,,,Charmant,,,,,C1,
10,Flashcards,Learning vocabulary,,83,text,text,,83.0,French,English,Fatal,,,Mortel,,,,,B2,
10,Flashcards,Learning vocabulary,,84,text,text,,84.0,French,English,Magnificent,,,Magnifique,,,,,C1,
10,Flashcards,Learning vocabulary,,85,text,text,,85.0,French,English,Original,,,Original,,,,,C1,
10,Flashcards,Learning vocabulary,,86,text,text,,86.0,French,English,Efficient,,,Efficace,,,,,C1,
