Exo_type_id,Exo_type,Exo_objective,Exo_focus,Exo_id,Source_format,Target_format,Source_sentence_id,Source_word_id,Source_lang,Target_lang,Full_sentence,Instruction,Sentence_w_blank,Right_answer,Dist_1,Dist_2,Dist_3,Explanation,Difficulty,Remediation,Length_sentence,Length_traget_word,Length_longest_word,Frequency_rarest_word,Score_sentence
14,MCQ,Learning vocabulary,Spellings,1,text,text,,8.0,French,English,Difference,Select the correct spelling (for Différence): ,,Difference,Diference,Difffference,Differance,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,2,text,text,,13.0,French,English,Cleanliness,Select the correct spelling (for Propreté): ,,Cleanliness,Cleanlines,Cleanlinessss,Clenliness,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,3,text,text,,44.0,French,English,Narrow,Select the correct spelling (for étroit): ,,Narrow,Narow,Narrrrow,Nerrow,,B1,,,,,,
14,MCQ,Learning vocabulary,Spellings,4,text,text,,61.0,French,English,Excellent,Select the correct spelling (for Excellent): ,,Excellent,Excelent,Excellllent,Excellant,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,5,text,text,,80.0,French,English,Pleasant,Select the correct spelling (for Agréable): ,,Pleasant,Pleasent,Plesant,Pleaasant,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,6,text,text,,86.0,French,English,Efficient,Select the correct spelling (for Efficace): ,,Efficient,Efficeint,Eficient,Efffficient,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,7,text,text,,87.0,French,English,Unefficient,Select the correct spelling (for Inefficace): ,,Unefficient,Unefficeint,Uneficient,Unefffficient,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,8,text,text,,92.0,French,English,Unbearable,Select the correct spelling (for Insupportable): ,,Unbearable,Unbeerable,Unberable,Unbeaarablea,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,9,text,text,,100.0,French,English,Different,Select the correct spelling (for Différent): ,,Different,Diferent,Difffferent,Differant,,B1,,,,,,
14,MCQ,Learning vocabulary,Spellings,10,text,text,,116.0,French,English,Powerless,Select the correct spelling (for Impuissant): ,,Powerless,Powerles,Powerlessss,Powarless,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,11,text,text,,118.0,French,English,Likely,Select the correct spelling (for Probable): ,,Likely,Likeely,Likly,Likly,,A1,,,,,,
14,MCQ,Learning vocabulary,Spellings,12,text,text,,141.0,French,English,Suddenly,Select the correct spelling (for Tout à coup): ,,Suddenly,Sudenly,Suddddenly,Suddenely,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,13,text,text,,154.0,French,English,Generally,Select the correct spelling (for Généralement): ,,Generally,Generaly,Generalllly,Genarally,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,14,text,text,,160.0,French,English,Finally,Select the correct spelling (for Finalement): ,,Finally,Finaly,Finalllly,Finalely,,A2,,,,,,
14,MCQ,Learning vocabulary,Spellings,15,text,text,,174.0,French,English,Underneath,Select the correct spelling (for En-dessous): ,,Underneath,Undarneath,Undeurneath,Underneth,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,16,text,text,,181.0,French,English,Really,Select the correct spelling (for Vraiment): ,,Really,Realy,Realllly,Relly,,A1,,,,,,
14,MCQ,Learning vocabulary,Spellings,17,text,text,,194.0,French,English,Wisely,Select the correct spelling (for Intelligement): ,,Wisely,Wiseely,Wisly,Wisly,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,18,text,text,,195.0,French,English,Possibly,Select the correct spelling (for Eventuellement): ,,Possibly,Posibly,Possssibly,Possibely,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,19,text,text,,196.0,French,English,Merrily,Select the correct spelling (for Joyeusement): ,,Merrily,Merily,Merrrrily,Marrily,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,20,text,text,,197.0,French,English,Immediately,Select the correct spelling (for Immédiatement): ,,Immediately,Imediately,Immmmediately,Immediateely,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,21,text,text,,198.0,French,English,Completely,Select the correct spelling (for Complètement): ,,Completely,Completeely,Completly,Completly,,B2,,,,,,
14,MCQ,Learning vocabulary,Spellings,22,text,text,,201.0,French,English,Politely,Select the correct spelling (for Poliment): ,,Politely,Politeely,Politly,Politly,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,23,text,text,,204.0,French,English,Periodically,Select the correct spelling (for Périodiquement): ,,Periodically,Periodicaly,Periodicalllly,Pariodically,,C1,,,,,,
14,MCQ,Learning vocabulary,Spellings,24,text,text,,205.0,French,English,Potentially,Select the correct spelling (for Probablement): ,,Potentially,Potentialy,Potentialllly,Potantially,,C1,,,,,,
