English Word	English Lemma	Short English Sentence	Long English Sentence	Short Target Sentence	Long Target Sentence
AIDS	AIDS	I had an AIDS test.	I had an AIDS test.	AIDS testi yaptırdım.	AIDS testi yaptırdım.
Abandon	Abandon	Abandon ship!	Father abandoned us.	Gemiyi boşaltın!	Babam bizi terk etti.
Abandoned	abandon	Abandon ship!	Father abandoned us.	Gemiyi boşaltın!	Babam bizi terk etti.
Abbreviation	abbreviation				
Abdomen	abdoman				
Ability	ability				
Ablution	ablution				
About	about	About what?	She is about my age.	Ne hakkında?	Aşağı yukarı benimle aynı yaşta.
About	about	About what?	She is about my age.	Ne hakkında?	Aşağı yukarı benimle aynı yaşta.
Above	above	See above.	A bird soared above.	Yukarıya bakın.	Bir kuş yukarıda süzüldü.
Abrupt	abrupt	That was abrupt.	That was abrupt.	O aniydi.	O aniydi.
Abscess	abscess				
Absence	absence				
Absent-minded	absent	I was absent.	Tom is often absent.	Ben yoktum.	Tom sık sık yok.
Absolute	absolute				
Absolutely	absolutely	Absolutely!	I'm absolutely fine.	Kesinlikle!	Ben kesinlikle iyiyim.
Absorption	absorption				
Abstention	abstention				
Abstract	abstract				
Absurd	absurd	How absurd!	That's quite absurd.	Ne kadar saçma!	O oldukça saçma.
Absurd	absurd	How absurd!	That's quite absurd.	Ne kadar saçma!	O oldukça saçma.
Absurd	absurd	How absurd!	That's quite absurd.	Ne kadar saçma!	O oldukça saçma.
Abusing	abuse	Tom abused Mary.	He abused our trust.	Tom Mary'yi taciz etti.	Güvenimizi suistimal etti.
Academic	academic				
Academy	academy				
Acceleration	acceleration				
Accent	accent	I love his accent.	That accent is fake.	Onun aksanını severim.	O aksan sahte.
Accident	accident	Accidents happen.	Accidents do happen.	Kazalar olur.	Kazalar olur.
Accidental	Accidental				
Accomplice	accomplice				
According	accord	According to you.	According to you.	Sana göre.	Sana göre.
Accordion	accordion				
Accountant	accountant	I'm an accountant.	I'm an accountant.	Ben bir muhasebeciyim.	Ben bir muhasebeciyim.
Accounting	accounting				
Accurate	accurate	It's accurate.	That's not accurate.	Bu doğru.	O doğru değil.
Accused	accuse	Who's accusing you?	Are you accusing us?	Kim seni suçluyor?	Bizi suçluyor musun?
Accustomed	accustomed				
Achievable	achievable				
Acid	acid	Acid attacks metal.	Acids act on metals.	Asit, metale saldırır.	Asidler metalleri etkiler.
Acidity	acidity				
Acne	acne				
Acrobat	Acrobat	I'm an acrobat.	Tom is an acrobat.	Ben bir akrobatım.	Tom bir akrobat.
Across	across	Jump across.	Go across the river!	Karşı tarafa atla.	Nehri geçin!
Action	action	Action!	We need more action.	Motor!	Daha fazla eyleme ihtiyacımız var.
Active	active	She is active.	I'm not very active.	O, aktiftir.	Ben çok aktif değilim.
Activist	activist	Tom is an activist.	Mary is an activist.	Tom bir aktivisttir.	Mary bir eylemci.
Activity	activity				
Actor	actor	I'm an actor.	She's a child actor.	Ben bir aktörüm.	O bir çocuk oyuncu.
Actress	actress	You are actresses.	She was an actress.	Sizler aktrissiniz.	O bir aktristi.
Acupuncture	acupuncture				
Add	add	Add meat.	I can't add that up.	Et ekle.	Bunu ekleyemiyorum.
Addicted	addict	I'm an addict.	He's a bread addict.	Ben bir bağımlıyım.	O bir ekmek bağımlısı.
Addiction	addiction				
Address	address	Here's my address.	This is the address.	İşte adresim.	Adres burası.
Adjective	adjective				
Administration	administration				
Administration	administration				
Administrative	administrative				
Admiring	admire	I admire you.	I really admire Tom.	Sana hayranım.	Tom'a gerçekten hayranım.
Adolescence	adolescence				
Adolescence	adolescence				
Adorable	adorable	She's adorable.	You're all adorable.	O çok güzel ve sevimli.	Siz hepiniz çok güzelsiniz.
Adult	adult	I'm an adult.	You're an adult now.	Ben bir yetişkinim.	Artık bir yetişkinsin.
Advantage	advantage	I had one advantage.	I had one advantage.	Bir avantajım vardı.	Bir avantajım vardı.
Advantageous	advantageous				
Adverb	Adverb	This is an adverb.	This is an adverb.	Bu bir zarftır.	Bu bir zarftır.
Advertising	advertising				
Advice	advice	Advice comes.	Listen to my advice!	Tavsiye gelir.	Tavsiyemi dinleyin!
Aerodrome	aerodrome				
Aerodrome	aerodrome				
Aerosol	aerosol				
Aerospace	aerospace				
Aerospatial	aerospatial				
Affect	affect	War affects us all.	Will this affect me?	Savaş hepimizi etkiler.	Bu beni etkiler mi?
Affectionately	affectionately				
Afghan	afghan				
Afghanistan	Afghanistan				
Afraid	afraid	I am afraid.	Everybody is afraid.	Korkuyorum.	Herkes korkuyor.
Africa	Africa	I'm from Africa.	I'm not from Africa.	Ben Afrikalıyım.	Ben Afrikalı değilim.
After	after	After you.	I will go after him.	Önce siz buyurun.	Onun peşine düşeceğim.
After	after	After you.	I will go after him.	Önce siz buyurun.	Onun peşine düşeceğim.
After	after	After you.	I will go after him.	Önce siz buyurun.	Onun peşine düşeceğim.
After	after	After you.	I will go after him.	Önce siz buyurun.	Onun peşine düşeceğim.
Afternoon	Afternoon	Good afternoon.	I work afternoons.	İyi günler.	Ben öğleden sonraları çalışırım.
Again	again	Again.	Will you come again?	Tekrar.	Tekrar gelecek misiniz?
Again	again	Again.	Will you come again?	Tekrar.	Tekrar gelecek misiniz?
Ages	age	"Age? ""16."""	She is about my age.	“Yaş?” “16.”	Aşağı yukarı benimle aynı yaşta.
Aggression	aggression				
Aggressive	aggressive	I was aggressive.	Let's be aggressive.	Ben saldırgandım.	Saldırgan olalım.
Aggressiveness	Aggressiveness				
Agile	agile				
Agitated	Agitated	You're agitated.	Tom became agitated.	Sen ajite olmuşsun.	Tom tedirgin oldu.
Agitation	agitation				
Ago	ago	Years ago.	Tom died a year ago.	Yıllar önce.	Tom bir yıl önce öldü.
Agreement	agreement	We're in agreement.	We had an agreement.	Aynı anlaşmadayız.	Bizim bir anlaşmamız vardı.
Agriculture	agriculture				
Air	air	I need air.	We have air support.	Havaya ihtiyacım var.	Hava desteğimiz var.
Air-balloon	air	I need air.	We have air support.	Havaya ihtiyacım var.	Hava desteğimiz var.
Airplane	airplane	I saw an airplane.	This is my airplane.	Bir uçak gördüm.	Bu benim uçağım.
